cat_lrz,id_station,cat_place,cat_state,val_lat,val_lon,cat_grouping
APS_PA,KPIT,Pittsburgh,PA,40.4915,-80.2329,AP
APS_WV,KMGW,Morgantown,WV,39.6429,-79.9163,AP
APS_MD,KHGR,Hagerstown,MD,39.7079,-77.7295,AP
AEP_OH,KCMH,Columbus,OH,39.9612,-82.9988,AEP
AEP_IN,KIND,Indianapolis,IN,39.7173,-86.2944,AEP
AEP_MI,KDTW,Detroit,MI,42.2124,-83.3534,AEP
AEP_KY,KHTS,Huntington,KY,38.3667,-82.558,AEP
AEP_VA,KROA,Roanoke,VA,37.3255,-79.9754,AEP
AEP_WV,KCRW,Charleston,WV,38.3731,-81.5932,AEP
AEP_TN,KTRI,Tri-Cities,TN,36.4752,-82.4074,AEP
ATSI_OH,KCLE,Cleveland,OH,41.4117,-81.8498,ATSI
ATSI_PA,KERI,Erie,PA,42.0831,-80.1739,ATSI
ATSI_MI,KSAW,Marquette,MI,46.3536,-87.3954,ATSI
AECO,KACY,Atlantic City,NJ,39.4576,-74.5772,AE
BGE,KBWI,Baltimore,MD,39.1754,-76.6684,BC
COMED,KORD,Chicago,IL,41.9742,-87.9073,CE
DAY,KDAY,Dayton,OH,39.9024,-84.2194,DAY
DPL_DE,KILG,Wilmington,DE,39.6787,-75.6065,DPL
DPL_MD,KSBY,Salisbury,MD,38.3405,-75.5103,DPL
DPL_NJ,KMIV,Vineland_ Millville,NJ,39.3678,-75.0722,DPL
DOM_VA,KRIC,Richmond,VA,37.5052,-77.3197,DOM
DOM_VC,KORF,Norfolk,VA,36.895,-76.201,DOM
DOM_NC,KECG,Elizabeth City,NC,36.2606,-76.1746,DOM
DOM_WV,KMRB,Martinsburg,WV,39.4019,-77.9846,DOM
DOM_MD,KADW,Waldorf_Southern MD,MD,38.8108,-76.8669,DOM
DEOK,KCVG,Cincinnati,OH,39.0488,-84.6678,DEOK
DLCO,KPIT,Pittsburgh,PA,40.4915,-80.2329,DUQ
EKPC,KLEX,Lexington,KY,38.0365,-84.6059,EKPC
JCPL,KTTN,Trenton,NJ,40.2767,-74.8135,JC
METED,KMDT,Harrisburg,PA,40.3356,-76.7634,ME
OVEC,KHTS,Portsmouth,OH,38.84,-82.8473,OVEC
PECO,KPHL,Philadelphia,PA,39.8729,-75.2437,PE
PENELEC,KERI,Erie,PA,42.0831,-80.1739,PN
PEPCO_DC,KDCA,Washington,DC,38.8512,-77.0402,PEP
PEPCO_MD,KIAD,Bethesda_Silver Spring,MD,38.9445,-77.4558,PEP
PPL,KABE,Allentown,PA,40.6524,-75.4404,PL
PSEG,KEWR,Newark,NJ,40.6895,-74.1745,PS
RECO,KTEB,Hackensack_Paramus,NJ,40.8501,-74.0608,RECO
